SIT_MATRICULA,PAI_FALECIDO,MAE_FALECIDO,RENDA_FAMILIAR,TIPO_ESCOLA_ORIGEM,ANO_CONCLUSAO_2_GRAU,RENDA_PER_CAPITA,COD_ESTADO_CIVIL,N_FILHOS,SEXO,PROFISSAO,DESC_CIDADE,DESC_ESTADO,DESC_IDIOMA,NIVEL_FALA,NIVEL_COMPREENSAO,NIVEL_ESCRITA,NIVEL_LEITURA,NOTAS,N_FALTAS,COD_DISCIPLINA,CARGA_HOR,ANO_INGRESSO,IDADE_INGRESSO
0,0.0,0.0,,E,2014.0,,S,,M,,Goiânia,Goiás,Espanhol,1.0,1.0,1.0,1.0,6.70,,648,54,2016,20.0
0,0.0,0.0,0.0,P,2011.0,0.0,,0.0,M,,Goiânia,Goiás,Inglês,2.0,3.0,3.0,3.0,10.00,,648,54,2016,21.0
0,0.0,0.0,0.0,P,2011.0,0.0,,0.0,M,,Goiânia,Goiás,Espanhol,1.0,1.0,1.0,1.0,10.00,,648,54,2016,21.0
0,0.0,0.0,0.0,P,2014.0,0.0,,0.0,M,,Goiania,Ceará,,,,,,0.00,70.0,648,54,2016,18.0
0,0.0,0.0,0.0,,,0.0,S,0.0,F,,Goiânia,Goiás,,,,,,0.00,70.0,648,54,2016,18.0
0,0.0,0.0,0.0,E,2014.0,0.0,S,0.0,M,,Trindade,Goiás,Inglês,1.0,2.0,2.0,2.0,0.00,70.0,648,54,2016,18.0
0,0.0,0.0,0.0,E,2012.0,10.0,,0.0,M,,Parauapebas,Pará,,,,,,0.00,70.0,648,54,2016,22.0
0,0.0,0.0,0.0,,2014.0,10.0,S,0.0,M,,Goiânia,Goiás,Inglês,3.0,2.0,3.0,3.0,1.30,8.0,648,54,2015,18.0
0,0.0,0.0,0.0,,,10.0,S,0.0,F,Estudante,Inhumas,Goiás,,,,,,8.00,8.0,648,54,2015,18.0
0,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,M,,Goiânia,Goiás,Espanhol,1.0,1.0,1.0,1.0,0.00,70.0,648,54,2015,19.0
0,0.0,0.0,0.0,E,2014.0,,,,M,,Goiânia,Goiás,,,,,,0.50,10.0,648,54,2015,19.0
0,0.0,0.0,0.0,E,2014.0,10.0,S,0.0,M,Estudante,Itapuranga,Goiás,Inglês,2.0,3.0,2.0,2.0,0.00,70.0,648,54,2015,18.0
0,0.0,0.0,0.0,P,2011.0,10.0,,0.0,M,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,6.60,8.0,648,54,2015,22.0
0,0.0,0.0,0.0,E,2014.0,10.0,,0.0,M,,Goiânia,Goiás,,,,,,0.00,70.0,648,54,2015,18.0
0,0.0,0.0,0.0,E,2014.0,10.0,S,0.0,M,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,0.70,12.0,648,54,2015,18.0
0,0.0,0.0,,O,2010.0,,S,,M,,Goiânia,Goiás,Inglês,2.0,3.0,2.0,2.0,06/10/2016,,648,54,2015,23.0
0,0.0,0.0,0.0,,,10.0,S,0.0,M,Estudante,Goiânia,Goiás,Inglês,2.0,2.0,2.0,3.0,0.00,70.0,648,54,2015,21.0
0,0.0,0.0,0.0,P,2015.0,10.0,,0.0,M,,Goiânia,Goiás,,,,,,0.00,70.0,648,54,2015,18.0
0,0.0,0.0,0.0,,,10.0,S,0.0,M,Estudante,Goiânia,Goiás,Inglês,2.0,2.0,2.0,3.0,0.00,70.0,648,54,2015,21.0
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,M,,Goiânia,Goiás,Inglês,2.0,3.0,2.0,3.0,8.80,4.0,648,54,2015,18.0
0,0.0,0.0,,P,2014.0,,S,,M,,Goiânia,Goiás,,,,,,6.60,10.0,648,54,2015,18.0
9,0.0,0.0,,E,2013.0,,S,,F,,Aparecida de Goiânia,Goiás,,,,,,0.00,70.0,648,54,2015,19.0
0,0.0,0.0,0.0,P,2009.0,10.0,,0.0,F,,Goiânia,Goiás,,,,,,09/10/2016,6.0,648,54,2015,23.0
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,M,,Goiânia,Goiás,,,,,,0.50,70.0,648,54,2015,19.0
0,0.0,0.0,0.0,P,2014.0,10.0,S,0.0,M,,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2015,18.0
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,M,,Goiânia,Goiás,,,,,,0.50,0.0,648,54,2015,19.0
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,M,,Goiânia,Goiás,,,,,,7.20,0.0,648,54,2015,18.0
0,0.0,0.0,0.0,E,2013.0,10.0,,0.0,M,,Caiapônia,Goiás,,,,,,6.00,0.0,648,54,2015,18.0
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,F,,Inhumas,Goiás,,,,,,6.00,0.0,648,54,2015,18.0
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,F,,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2015,18.0
10,0.0,0.0,0.0,E,2014.0,10.0,,0.0,M,Estudante,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,7.30,0.0,648,54,2015,18.0
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,M,,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2015,18.0
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,M,,Goiânia,Goiás,,,,,,6.70,0.0,648,54,2015,18.0
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,F,,Aparecida de Goiânia,Goiás,,,,,,6.70,0.0,648,54,2015,19.0
0,0.0,0.0,0.0,P,2014.0,10.0,S,0.0,M,Técnico,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,7.00,0.0,648,54,2015,18.0
0,0.0,0.0,0.0,F,2012.0,10.0,,0.0,M,,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2015,21.0
0,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,F,Estudante,Aparecida de Goiânia,Goiás,Inglês,3.0,3.0,3.0,3.0,7.50,0.0,648,54,2015,19.0
0,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,F,Estudante,Aparecida de Goiânia,Goiás,Alemão,1.0,1.0,1.0,1.0,7.50,0.0,648,54,2015,19.0
0,0.0,0.0,0.0,E,,10.0,S,0.0,F,,Aparecida de Goiânia,Goiás,,,,,,6.00,0.0,648,54,2015,17.0
10,0.0,0.0,0.0,P,2014.0,10.0,S,0.0,M,,Goiânia,Goiás,,,,,,0.00,66.0,648,54,2015,17.0
0,0.0,0.0,0.0,P,2014.0,10.0,S,0.0,M,,Anápolis,Goiás,Inglês,3.0,3.0,2.0,3.0,6.70,0.0,648,54,2015,18.0
